sequence_id,xgb1_probability,xgb2_probability,xgb1_prediction,xgb2_prediction,final_prediction,final_confidence
ECK120010535 NUOAP2 REVERSE 2405162 SIGMA70 STRONG,0.97080946,0.95455766,1,1,1,0.97080946
ECK120010207 NUPCP FORWARD 2513009 SIGMA70 STRONG,0.9949827,0.9977507,1,1,1,0.9977507
ECK120010192 NUPGP FORWARD 3105651 SIGMA70 STRONG,0.9998204,0.99781466,1,1,1,0.9998204
ECK120032971 OHSCP FORWARD 2700518 SIGMA70 STRONG,0.5487134,0.41468334,1,0,1,0.5487134
ECK120010139 OMPAP1 REVERSE 1020191 SIGMA70 STRONG,0.77159417,0.8770596,1,1,1,0.8770596
ECK120010663 OMPRP1 REVERSE 3536707 SIGMA70 STRONG,0.9843461,0.96908176,1,1,1,0.9843461
ECK120010235 OMPRP2 REVERSE 3536685 SIGMA70 STRONG,0.98900807,0.99615866,1,1,1,0.99615866
ECK120010665 OMPRP4 REVERSE 3536755 SIGMA70 STRONG,0.9963498,0.95357394,1,1,1,0.9963498
ECK120010476 OSMBP2 REVERSE 1343369 SIGMA70 STRONG,0.9855839,0.81217766,1,1,1,0.9855839
ECK120010487 OSMEP REVERSE 1822283 SIGMA70 STRONG,0.8276806,0.5936209,1,1,1,0.8276806
ECK120010473 OSMYP FORWARD 4611153 SIGMA70 STRONG,0.8417444,0.9350175,1,1,1,0.9350175
ECK120010709 PAAAP FORWARD 1453865 SIGMA70 STRONG,0.7645393,0.9354785,1,1,1,0.9354785
ECK120010753 PAAXP FORWARD 1463509 SIGMA70 STRONG,0.50864166,0.52037746,1,1,1,0.52037746
ECK120010393 PABAP1 REVERSE 3490851 SIGMA70 STRONG,0.99968374,0.96412325,1,1,1,0.99968374
ECK120034550 PANBP REVERSE 149630 SIGMA70 STRONG,0.9988054,0.9846541,1,1,1,0.9988054
ECK125203426 PANDP2 REVERSE 146754 SIGMA70 STRONG,0.51096255,0.1394688,1,0,1,0.51096255
ECK120010202 PCKP FORWARD 3532679 SIGMA70 STRONG,0.9900831,0.8489321,1,1,1,0.9900831
ECK120016349 PCNBP2 REVERSE 159195 SIGMA70 STRONG,0.7450859,0.8521037,1,1,1,0.8521037
ECK120009927 PCNBP3 REVERSE 159171 SIGMA70 STRONG,0.98259294,0.93950456,1,1,1,0.98259294
ECK120030666 PDELP2 FORWARD 331873 SIGMA70 STRONG,0.76994467,0.39844245,1,0,1,0.76994467
ECK120010280 PDHRP FORWARD 122034 SIGMA70 STRONG,0.998168,0.9933611,1,1,1,0.998168
ECK120049220 PEPAP1 REVERSE 4486139 SIGMA70 STRONG,0.6145773,0.9572888,1,1,1,0.9572888
ECK120049221 PEPAP2 REVERSE 4486112 SIGMA70 STRONG,0.78965664,0.40877974,1,0,1,0.78965664
ECK120010770 PFKAP2 FORWARD 4107474 SIGMA70 STRONG,0.99369097,0.9939029,1,1,1,0.9939029
ECK125199579 PFLAP REVERSE 951154 SIGMA70 STRONG,0.23306003,0.7503551,0,1,1,0.7503551
ECK120010649 PGIP FORWARD 4233722 SIGMA70 STRONG,0.9714826,0.66745716,1,1,1,0.9714826
ECK120015412 PGKP1 REVERSE 3072857 SIGMA70 STRONG,0.9949421,0.9658483,1,1,1,0.9949421
ECK125165943 PGPBP FORWARD 1339309 SIGMA70 STRONG,0.99750227,0.9832607,1,1,1,0.99750227
ECK120010366 PHELP FORWARD 2737579 SIGMA70 STRONG,0.58464926,0.522837,1,1,1,0.58464926
ECK120015419 PHEPP FORWARD 601929 SIGMA70 STRONG,0.81127524,0.68321836,1,1,1,0.81127524
ECK120010252 PHNCP REVERSE 4325206 SIGMA70 STRONG,0.65446204,0.7336644,1,1,1,0.7336644
ECK120011028 PHOEP REVERSE 260158 SIGMA70 STRONG,0.9778371,0.5281334,1,1,1,0.9778371
ECK120010317 PHOHP1 FORWARD 1084865 SIGMA70 STRONG,0.58392584,0.64953166,1,1,1,0.64953166
ECK125140844 PKAP FORWARD 2719931 SIGMA70 STRONG,0.9937016,0.99159604,1,1,1,0.9937016
ECK125203411 PLSXP FORWARD 1147577 SIGMA70 STRONG,0.44994223,0.97395194,0,1,1,0.97395194
ECK120011045 PNCBP REVERSE 990414 SIGMA70 STRONG,0.99726486,0.98116827,1,1,1,0.99726486
ECK120010385 PNPP REVERSE 3311326 SIGMA70 STRONG,0.6378109,0.26992962,1,0,1,0.6378109
ECK120010560 PPIAP1 REVERSE 3492335 SIGMA70 STRONG,0.9962429,0.9795376,1,1,1,0.9962429
ECK120010220 PPSP REVERSE 1787161 SIGMA70 STRONG,0.97882426,0.47406882,1,0,1,0.97882426
ECK120010681 PQIAP1 FORWARD 1011666 SIGMA70 STRONG,0.99617034,0.98692036,1,1,1,0.99617034
ECK120010213 PROPP1 FORWARD 4330320 SIGMA70 STRONG,0.99719715,0.85566276,1,1,1,0.99719715
ECK120010285 PROSP REVERSE 218837 SIGMA70 STRONG,0.70431423,0.8873603,1,1,1,0.8873603
ECK120010368 PROVP1 FORWARD 2804563 SIGMA70 STRONG,0.93849164,0.9916671,1,1,1,0.9916671
ECK120010370 PROVP3 FORWARD 2804755 SIGMA70 STRONG,0.9632436,0.879049,1,1,1,0.9632436
ECK120011046 PRSP REVERSE 1262177 SIGMA70 STRONG,0.99876887,0.8725921,1,1,1,0.99876887
ECK120009916 PSIEP FORWARD 4240300 SIGMA70 STRONG,0.9704771,0.810892,1,1,1,0.9704771
ECK120009905 PSPFP1 REVERSE 1367945 SIGMA70 STRONG,0.6764575,0.042819187,1,0,1,0.6764575
ECK120009907 PSPFP3 REVERSE 1368040 SIGMA70 STRONG,0.51332676,0.25606826,1,0,1,0.51332676
ECK125137427 PSSAP6 FORWARD 2722667 SIGMA70 STRONG,0.97399604,0.43795475,1,0,1,0.97399604
ECK125134709 PSTBP1 REVERSE 3908556 SIGMA70 STRONG,0.31472418,0.78655785,0,1,1,0.78655785
ECK120010253 PSTSP REVERSE 3911568 SIGMA70 STRONG,0.9847728,0.96224165,1,1,1,0.9847728
ECK120009901 PTHP REVERSE 1258542 SIGMA70 STRONG,0.99969614,0.9495892,1,1,1,0.99969614
ECK120009862 PTSGP2 FORWARD 1157626 SIGMA70 STRONG,0.4791346,0.8525075,0,1,1,0.8525075
ECK120010357 PTSHP2 FORWARD 2533601 SIGMA70 STRONG,0.99361706,0.88575834,1,1,1,0.99361706
ECK120010356 PTSHP4 FORWARD 2533501 SIGMA70 STRONG,0.9097449,0.24568662,1,0,1,0.9097449
ECK120010161 PURAP FORWARD 4404664 SIGMA70 STRONG,0.97933793,0.71830124,1,1,1,0.97933793
ECK120011012 PURCP REVERSE 2597781 SIGMA70 STRONG,0.9990102,0.9939452,1,1,1,0.9990102
ECK120010154 PUREP REVERSE 553142 SIGMA70 STRONG,0.96035427,0.9933803,1,1,1,0.9933803
ECK120011013 PURHP REVERSE 4207627 SIGMA70 STRONG,0.9982146,0.8075803,1,1,1,0.9982146
ECK120011014 PURLP REVERSE 2695589 SIGMA70 STRONG,0.99321556,0.9734427,1,1,1,0.99321556
ECK120011015 PURMP FORWARD 2621153 SIGMA70 STRONG,0.9985946,0.99717146,1,1,1,0.9985946
ECK125136834 PURUP3 REVERSE 1288751 SIGMA70 STRONG,0.991499,0.9416069,1,1,1,0.991499
ECK120010626 PUTPP1 FORWARD 1079168 SIGMA70 STRONG,0.21294597,0.92890793,0,1,1,0.92890793
ECK120011017 PYRCP REVERSE 1122643 SIGMA70 STRONG,0.80097,0.4089422,1,0,1,0.80097
ECK120010324 PYRFP FORWARD 1341870 SIGMA70 STRONG,0.9967249,0.98339945,1,1,1,0.9967249
ECK120009854 PYRHP FORWARD 191812 SIGMA70 STRONG,0.99972266,0.98525673,1,1,1,0.99972266
ECK120016575 QSEBP1 FORWARD 3169801 SIGMA70 STRONG,0.6302106,0.87773496,1,1,1,0.87773496
ECK125136892 RACRP5 REVERSE 1420242 SIGMA70 STRONG,0.41098982,0.61972725,0,1,1,0.61972725
ECK120010256 RBSDP FORWARD 3933322 SIGMA70 STRONG,0.9491425,0.97060287,1,1,1,0.97060287
ECK120032985 RCNAP FORWARD 2185827 SIGMA70 STRONG,0.33732864,0.8518814,0,1,1,0.8518814
ECK120032986 RCNRP REVERSE 2185903 SIGMA70 STRONG,0.9774914,0.85900676,1,1,1,0.9774914
ECK125109864 RCSBP1 FORWARD 2315695 SIGMA70 STRONG,0.99124384,0.99538827,1,1,1,0.99538827
ECK125109865 RCSBP2 FORWARD 2315975 SIGMA70 STRONG,0.9909279,0.934858,1,1,1,0.9909279
ECK125109863 RCSDP FORWARD 2313452 SIGMA70 STRONG,0.97470856,0.3224125,1,0,1,0.97470856
ECK120030796 RDLDP FORWARD 3700136 SIGMA70 STRONG,0.99731463,0.99706227,1,1,1,0.99731463
ECK120009856 RDOAP FORWARD 4042391 SIGMA70 STRONG,0.5439919,0.94956833,1,1,1,0.94956833
ECK120011019 RECAP REVERSE 2823819 SIGMA70 STRONG,0.92674905,0.5750101,1,1,1,0.92674905
ECK120016569 RECCP REVERSE 2962507 SIGMA70 STRONG,0.5690038,0.49758735,1,0,1,0.5690038
ECK120010374 RELAP1 REVERSE 2913829 SIGMA70 STRONG,0.98567235,0.97505116,1,1,1,0.98567235
ECK120030217 RELBP REVERSE 1645903 SIGMA70 STRONG,0.41219664,0.61837274,0,1,1,0.61837274
ECK120009994 RFADP1 FORWARD 3793939 SIGMA70 STRONG,0.9986523,0.9673333,1,1,1,0.9986523
ECK120010264 RHABP REVERSE 4097472 SIGMA70 STRONG,0.9909428,0.90613407,1,1,1,0.9909428
ECK120010141 RHASP FORWARD 4097711 SIGMA70 STRONG,0.99872845,0.9979235,1,1,1,0.99872845
ECK120010258 RHATP REVERSE 4100566 SIGMA70 STRONG,0.9872478,0.99187124,1,1,1,0.99187124
ECK120010650 RIBAP1 REVERSE 1339190 SIGMA70 STRONG,0.69426453,0.84063673,1,1,1,0.84063673
ECK120010654 RIBAP2 REVERSE 1339234 SIGMA70 STRONG,0.9042617,0.18318218,1,0,1,0.9042617
ECK120016963 RIMPP REVERSE 3318175 SIGMA70 STRONG,0.9737432,0.9757342,1,1,1,0.9757342
ECK120015159 RIRAP REVERSE 3808238 SIGMA70 STRONG,0.996899,0.99461824,1,1,1,0.996899
ECK120010748 RNBP1 REVERSE 1349129 SIGMA70 STRONG,0.9510764,0.84483933,1,1,1,0.9510764
ECK120010724 RNCP REVERSE 2704223 SIGMA70 STRONG,0.9798284,0.99369365,1,1,1,0.99369365
ECK120051391 RNDP REVERSE 1888061 SIGMA70 STRONG,0.8653975,0.82482857,1,1,1,0.8653975
ECK120029521 RNEP1 REVERSE 1144728 SIGMA70 STRONG,0.98830545,0.84675056,1,1,1,0.98830545
ECK120029522 RNEP2 REVERSE 1144762 SIGMA70 STRONG,0.9433182,0.97802395,1,1,1,0.97802395
ECK120029523 RNEP3 REVERSE 1144873 SIGMA70 STRONG,0.8911426,0.97356004,1,1,1,0.97356004
ECK125109144 RNLBP2 FORWARD 2766860 SIGMA70 STRONG,0.9854145,0.99327797,1,1,1,0.99327797
ECK120010026 RPIBP FORWARD 4313257 SIGMA70 STRONG,0.7981277,0.33440697,1,0,1,0.7981277
ECK125122035 RPLUP REVERSE 3333516 SIGMA70 STRONG,0.99693525,0.98116267,1,1,1,0.99693525
ECK120029428 RPMIP REVERSE 1800427 SIGMA70 STRONG,0.7122839,0.8362565,1,1,1,0.8362565
ECK120010382 RPODP1 FORWARD 3212473 SIGMA70 STRONG,0.959355,0.95306647,1,1,1,0.959355
ECK120010383 RPODP2 FORWARD 3212637 SIGMA70 STRONG,0.94710624,0.96978813,1,1,1,0.96978813
ECK125240999 RPOEP2B REVERSE 2710339 SIGMA70 STRONG,0.9653028,0.92866534,1,1,1,0.9653028
ECK125241005 RPOEP5 REVERSE 2710165 SIGMA70 STRONG,0.9995901,0.9774614,1,1,1,0.9995901
ECK120010514 RPOHP1 REVERSE 3601003 SIGMA70 STRONG,0.9881274,0.98361963,1,1,1,0.9881274
ECK120010142 RPOHP5 REVERSE 3600849 SIGMA70 STRONG,0.9943093,0.9920412,1,1,1,0.9943093
ECK120010533 RPOSP REVERSE 2868118 SIGMA70 STRONG,0.98340327,0.9163481,1,1,1,0.98340327
ECK120048895 RPOZP FORWARD 3822077 SIGMA70 STRONG,0.9669377,0.8871605,1,1,1,0.9669377
ECK120034397 RPSBP FORWARD 189712 SIGMA70 STRONG,0.9754032,0.99787104,1,1,1,0.99787104
ECK120034372 RPSFP FORWARD 4425025 SIGMA70 STRONG,0.98997575,0.736313,1,1,1,0.98997575
ECK120010391 RPSJP REVERSE 3453442 SIGMA70 STRONG,0.86791515,0.30546373,1,0,1,0.86791515
ECK120011146 RPSMP2 REVERSE 3442565 SIGMA70 STRONG,0.97951645,0.56755865,1,1,1,0.97951645
ECK120015469 RPSPP REVERSE 2746254 SIGMA70 STRONG,0.9963308,0.9923096,1,1,1,0.9963308
ECK120010380 RPSUP1 FORWARD 3210646 SIGMA70 STRONG,0.9974597,0.8743641,1,1,1,0.9974597
ECK120033629 RRSAP2 FORWARD 4035356 SIGMA70 STRONG,0.9947365,0.9942948,1,1,1,0.9947365
ECK120009873 RRSDP2 REVERSE 3428940 SIGMA70 STRONG,0.9978223,0.9245097,1,1,1,0.9978223
ECK120033698 RUTRP2 FORWARD 1074113 SIGMA70 STRONG,0.9998072,0.80065674,1,1,1,0.9998072
ECK125140763 RYBAP REVERSE 853064 SIGMA70 STRONG,0.989858,0.9148368,1,1,1,0.989858
ECK120030648 RYDCP REVERSE 1491506 SIGMA70 STRONG,0.85085,0.9412489,1,1,1,0.9412489
ECK120032973 RYFDP REVERSE 2734295 SIGMA70 STRONG,0.94560283,0.5080606,1,1,1,0.94560283
ECK120009960 RYHBP REVERSE 3581016 SIGMA70 STRONG,0.9975592,0.99865204,1,1,1,0.99865204
ECK120032974 RYJBP FORWARD 4527977 SIGMA70 STRONG,0.90581876,0.94311935,1,1,1,0.94311935
ECK120010305 SDHDP2 FORWARD 755404 SIGMA70 STRONG,0.7483805,0.6716243,1,1,1,0.7483805
ECK125137169 SDIAP2 REVERSE 1996897 SIGMA70 STRONG,0.99742186,0.99209714,1,1,1,0.99742186
ECK125140841 SDIAP3 REVERSE 1996867 SIGMA70 STRONG,0.95931095,0.99797267,1,1,1,0.99797267
ECK125203416 SECBP REVERSE 3784203 SIGMA70 STRONG,0.25386655,0.56998515,0,1,1,0.56998515
ECK120034382 SECGP1 REVERSE 3322587 SIGMA70 STRONG,0.9685975,0.9672171,1,1,1,0.9685975
ECK120010267 SERAP1 REVERSE 3058456 SIGMA70 STRONG,0.9460881,0.8160913,1,1,1,0.9460881
ECK120009926 SERAP2 REVERSE 3058549 SIGMA70 STRONG,0.19273154,0.8479565,0,1,1,0.8479565
ECK120010763 SERCP FORWARD 957595 SIGMA70 STRONG,0.7527892,0.29518452,1,0,1,0.7527892
ECK120010606 SERTP REVERSE 1031719 SIGMA70 STRONG,0.671038,0.08170378,1,0,1,0.671038
ECK120030788 SGRSP FORWARD 77367 SIGMA70 STRONG,0.9954496,0.99836177,1,1,1,0.99836177
ECK125140845 SHIAP FORWARD 2053566 SIGMA70 STRONG,0.99171644,0.9513134,1,1,1,0.99171644
ECK120035119 SIBAP FORWARD 2153311 SIGMA70 STRONG,0.9982673,0.9987099,1,1,1,0.9987099
ECK120035123 SIBBP FORWARD 2153646 SIGMA70 STRONG,0.9768687,0.9920974,1,1,1,0.9920974
ECK120035120 SIBDP REVERSE 3194865 SIGMA70 STRONG,0.9802033,0.98267174,1,1,1,0.98267174
ECK120035121 SIBEP REVERSE 3195240 SIGMA70 STRONG,0.97777504,0.94972396,1,1,1,0.97777504
ECK120010164 SLPP FORWARD 3653936 SIGMA70 STRONG,0.9997801,0.9995733,1,1,1,0.9997801
ECK120011020 SODAP FORWARD 4100759 SIGMA70 STRONG,0.99935454,0.99308664,1,1,1,0.99935454
ECK120033253 SOHAP FORWARD 3276972 SIGMA70 STRONG,0.99195194,0.9908392,1,1,1,0.99195194
ECK120009847 SOHBP2 FORWARD 1329301 SIGMA70 STRONG,0.56371826,0.3816686,1,0,1,0.56371826
ECK125229302 SOKBP FORWARD 1492119 SIGMA70 STRONG,0.9984896,0.9882228,1,1,1,0.9984896
ECK120010549 SOXRP FORWARD 4277447 SIGMA70 STRONG,0.97495675,0.61012,1,1,1,0.97495675
ECK120010261 SOXSP REVERSE 4277423 SIGMA70 STRONG,0.9945797,0.9740018,1,1,1,0.9945797
ECK120010427 SPFP FORWARD 4049899 SIGMA70 STRONG,0.99928904,0.99323034,1,1,1,0.99928904
ECK120016587 SPYP REVERSE 1825688 SIGMA70 STRONG,0.84969753,0.9079471,1,1,1,0.9079471
ECK120010196 SRLAP FORWARD 2825791 SIGMA70 STRONG,0.9415015,0.89233446,1,1,1,0.9415015
ECK120011021 SSBP3 FORWARD 4274011 SIGMA70 STRONG,0.6110272,0.27025133,1,0,1,0.6110272
ECK125158028 SSRAP FORWARD 2755586 SIGMA70 STRONG,0.9973463,0.9750118,1,1,1,0.9973463
ECK120034944 SSRSP1 FORWARD 3055974 SIGMA70 STRONG,0.99889034,0.9684873,1,1,1,0.99889034
ECK120010481 STPAP1 REVERSE 2798536 SIGMA70 STRONG,0.5821816,0.009404456,1,0,1,0.5821816
ECK120010482 STPAP2 REVERSE 2798556 SIGMA70 STRONG,0.9931977,0.8653437,1,1,1,0.9931977
ECK120009938 SUFAP REVERSE 1764418 SIGMA70 STRONG,0.9836797,0.9868401,1,1,1,0.9868401
ECK120033212 SUREP2 REVERSE 2870686 SIGMA70 STRONG,0.9629567,0.7355896,1,1,1,0.9629567
ECK125203410 SXYP FORWARD 1021083 SIGMA70 STRONG,0.99796474,0.9714494,1,1,1,0.99796474
ECK120032970 SYMRP FORWARD 4579835 SIGMA70 STRONG,0.96471953,0.9632938,1,1,1,0.96471953
ECK125137937 TATAP1 FORWARD 4021909 SIGMA70 STRONG,0.59777683,0.84846467,1,1,1,0.84846467
ECK120010236 THRLP FORWARD 148 SIGMA70 STRONG,0.8576514,0.9800616,1,1,1,0.9800616
ECK125230252 THYAP REVERSE 2965254 SIGMA70 STRONG,0.87294954,0.81492543,1,1,1,0.87294954
ECK120027940 TIGP FORWARD 454994 SIGMA70 STRONG,0.9923185,0.9629876,1,1,1,0.9923185
ECK120010157 TNACP FORWARD 3888411 SIGMA70 STRONG,0.9386416,0.941223,1,1,1,0.941223
ECK120029860 TOMBP1 REVERSE 480794 SIGMA70 STRONG,0.7569961,0.9844052,1,1,1,0.9844052
ECK120010225 TONBP FORWARD 1311054 SIGMA70 STRONG,0.5538822,0.9090684,1,1,1,0.9090684
ECK120010493 TOPAP3 FORWARD 1330848 SIGMA70 STRONG,0.731829,0.8460303,1,1,1,0.8460303
ECK120010494 TOPAP4 FORWARD 1330818 SIGMA70 STRONG,0.7294158,0.91425544,1,1,1,0.91425544
ECK120010495 TOPAP5 FORWARD 1330789 SIGMA70 STRONG,0.97765315,0.9870135,1,1,1,0.9870135
ECK120010262 TORCP FORWARD 1058056 SIGMA70 STRONG,0.9772415,0.82844454,1,1,1,0.9772415
ECK120010637 TORRP REVERSE 1057984 SIGMA70 STRONG,0.7969766,0.36786965,1,0,1,0.7969766
ECK120034354 TPIAP2 REVERSE 4111569 SIGMA70 STRONG,0.99378055,0.97677803,1,1,1,0.99378055
ECK120010683 TPXP REVERSE 1388844 SIGMA70 STRONG,0.99976104,0.9757818,1,1,1,0.99976104
ECK120010263 TREBP REVERSE 4466210 SIGMA70 STRONG,0.93466467,0.96193236,1,1,1,0.96193236
ECK120010485 TRERP1 REVERSE 4467271 SIGMA70 STRONG,0.65358114,0.5446729,1,1,1,0.65358114
ECK120009933 TRERP4 REVERSE 4467347 SIGMA70 STRONG,0.5179162,0.9128825,1,1,1,0.9128825
ECK120010323 TRPCP REVERSE 1319944 SIGMA70 STRONG,0.8843323,0.70611656,1,1,1,0.8843323
ECK120010144 TRPLP REVERSE 1323108 SIGMA70 STRONG,0.9897754,0.9988176,1,1,1,0.9988176
ECK120026305 TRPSP REVERSE 3513697 SIGMA70 STRONG,0.9808677,0.9231299,1,1,1,0.9808677
ECK120009945 TRXCP FORWARD 2718675 SIGMA70 STRONG,0.987548,0.48142835,1,0,1,0.987548
ECK120010294 TSXP1 REVERSE 432245 SIGMA70 STRONG,0.9991685,0.9991561,1,1,1,0.9991685
ECK120010293 TSXP2 REVERSE 432091 SIGMA70 STRONG,0.99710757,0.95747185,1,1,1,0.99710757
ECK120033678 TUFAP1 REVERSE 3471724 SIGMA70 STRONG,0.80640453,0.50174326,1,1,1,0.80640453
ECK125135013 TUFAP2 REVERSE 3471583 SIGMA70 STRONG,0.99888426,0.99011374,1,1,1,0.99888426
ECK125162184 TYNAP1 REVERSE 1451409 SIGMA70 STRONG,0.9964952,0.9924992,1,1,1,0.9964952
ECK125137947 TYPAP6 FORWARD 4058380 SIGMA70 STRONG,0.99080503,0.97395736,1,1,1,0.99080503
ECK120010145 TYRRP FORWARD 1386692 SIGMA70 STRONG,0.94781506,0.9352304,1,1,1,0.94781506
ECK120010190 UBIGP FORWARD 2339539 SIGMA70 STRONG,0.997875,0.9945205,1,1,1,0.997875
ECK120010197 UDPP FORWARD 4016391 SIGMA70 STRONG,0.9658559,0.9927354,1,1,1,0.9927354
ECK120010395 UGPBP1 REVERSE 3592378 SIGMA70 STRONG,0.35581857,0.594825,0,1,1,0.594825
ECK120010396 UGPBP2 REVERSE 3592426 SIGMA70 STRONG,0.9889314,0.9973475,1,1,1,0.9973475
ECK120010193 UHPTP REVERSE 3847198 SIGMA70 STRONG,0.9945293,0.981108,1,1,1,0.9945293
ECK120010067 ULAAP FORWARD 4419927 SIGMA70 STRONG,0.9685346,0.9893979,1,1,1,0.9893979
ECK120010238 UMUDP FORWARD 1230738 SIGMA70 STRONG,0.68792224,0.4015349,1,0,1,0.68792224
ECK120010532 UPPP REVERSE 2620909 SIGMA70 STRONG,0.8421217,0.27247024,1,0,1,0.8421217
ECK120010398 USPAP1 FORWARD 3639983 SIGMA70 STRONG,0.5600726,0.7060932,1,1,1,0.7060932
ECK120048891 UVRBP1 FORWARD 813493 SIGMA70 STRONG,0.99266326,0.9039281,1,1,1,0.99266326
ECK120011024 UVRBP2 FORWARD 813462 SIGMA70 STRONG,0.99383885,0.92923844,1,1,1,0.99383885
ECK120010306 UVRBP3 FORWARD 813152 SIGMA70 STRONG,0.8718026,0.91051024,1,1,1,0.91051024
ECK120010343 UVRCP3 REVERSE 1994879 SIGMA70 STRONG,0.23765518,0.5767078,0,1,1,0.5767078
ECK120010146 UVRDP1 FORWARD 3997907 SIGMA70 STRONG,0.9997482,0.9009143,1,1,1,0.9997482
ECK120010620 UXUAP FORWARD 4551518 SIGMA70 STRONG,0.4983326,0.5411346,0,1,1,0.5411346
ECK120010450 VALSP1 REVERSE 4483927 SIGMA70 STRONG,0.96880686,0.93478113,1,1,1,0.96880686
ECK120010590 VALVP FORWARD 1746415 SIGMA70 STRONG,0.9923592,0.99262625,1,1,1,0.99262625
ECK120015161 WAAAP1 FORWARD 3808516 SIGMA70 STRONG,0.9908454,0.98310626,1,1,1,0.9908454
ECK120015162 WAAAP2 FORWARD 3808256 SIGMA70 STRONG,0.9856676,0.95485723,1,1,1,0.9856676
ECK125095189 WAAYP REVERSE 3801136 SIGMA70 STRONG,0.9990258,0.8260546,1,1,1,0.9990258
ECK120010257 WZAP REVERSE 2137583 SIGMA70 STRONG,0.29030222,0.9102233,0,1,1,0.9102233
ECK120010710 XAPAP REVERSE 2524910 SIGMA70 STRONG,0.9506798,0.53328097,1,1,1,0.9506798
ECK120010631 XAPRP1 REVERSE 2522505 SIGMA70 STRONG,0.9803964,0.99489236,1,1,1,0.99489236
ECK120010632 XAPRP2 REVERSE 2522563 SIGMA70 STRONG,0.9938677,0.8011452,1,1,1,0.9938677
ECK120010731 XSEAP FORWARD 2634197 SIGMA70 STRONG,0.99428815,0.98198974,1,1,1,0.99428815
ECK120015468 YACCP REVERSE 136940 SIGMA70 STRONG,0.9961551,0.98431015,1,1,1,0.9961551
ECK120033681 YAFNP FORWARD 251969 SIGMA70 STRONG,0.9999566,0.9983858,1,1,1,0.9999566
ECK125203430 YAJGP REVERSE 454210 SIGMA70 STRONG,0.5519162,0.1556015,1,0,1,0.5519162
ECK125136516 YBBLP6 FORWARD 515892 SIGMA70 STRONG,0.9869027,0.97489727,1,1,1,0.9869027
ECK125136558 YBDLP3 FORWARD 633557 SIGMA70 STRONG,0.99895287,0.96657646,1,1,1,0.99895287
ECK125203420 YBHLP FORWARD 819858 SIGMA70 STRONG,0.99754924,0.9898921,1,1,1,0.99754924
ECK120009922 YBJCP FORWARD 890892 SIGMA70 STRONG,0.9898191,0.6569553,1,1,1,0.9898191
ECK120030645 YCARP FORWARD 970642 SIGMA70 STRONG,0.69413656,0.63077176,1,1,1,0.69413656
ECK120029861 YCCAP REVERSE 1031443 SIGMA70 STRONG,0.54159135,0.97604454,1,1,1,0.97604454
ECK120035124 YCDTP FORWARD 1092841 SIGMA70 STRONG,0.8045411,0.9969777,1,1,1,0.9969777
ECK125136774 YCFDP4 REVERSE 1188267 SIGMA70 STRONG,0.98284507,0.79003716,1,1,1,0.98284507
ECK120009902 YCHFP REVERSE 1257882 SIGMA70 STRONG,0.9994623,0.8424438,1,1,1,0.9994623
ECK120033032 YCHHP FORWARD 1258738 SIGMA70 STRONG,0.999315,0.9991092,1,1,1,0.999315
ECK120010693 YCHQP FORWARD 1266899 SIGMA70 STRONG,0.77134866,0.87086564,1,1,1,0.87086564
ECK125136974 YDENP REVERSE 1582554 SIGMA70 STRONG,0.9852704,0.87536997,1,1,1,0.9852704
ECK120033717 YDEPP REVERSE 1586664 SIGMA70 STRONG,0.99859875,0.9971144,1,1,1,0.99859875
ECK120033252 YEARP REVERSE 1879994 SIGMA70 STRONG,0.96854055,0.8342494,1,1,1,0.96854055
ECK125137139 YEBKP2 FORWARD 1936590 SIGMA70 STRONG,0.99640274,0.19372433,1,0,1,0.99640274
ECK120035130 YEFMP REVERSE 2089733 SIGMA70 STRONG,0.955291,0.86749756,1,1,1,0.955291
ECK120048892 YEGRP REVERSE 2168349 SIGMA70 STRONG,0.9809192,0.99120516,1,1,1,0.99120516
ECK125137277 YEIQP6 FORWARD 2266214 SIGMA70 STRONG,0.9970094,0.9922276,1,1,1,0.9970094
ECK120034266 YEITP FORWARD 2233989 SIGMA70 STRONG,0.99569404,0.9950177,1,1,1,0.99569404
ECK120033723 YFDXP REVERSE 2494433 SIGMA70 STRONG,0.9423671,0.88121206,1,1,1,0.9423671
ECK125137396 YFGGP5 FORWARD 2629252 SIGMA70 STRONG,0.9964916,0.8750484,1,1,1,0.9964916
ECK125203421 YFIRP FORWARD 2741824 SIGMA70 STRONG,0.9981426,0.9881017,1,1,1,0.9981426
ECK125160781 YGFBP REVERSE 3055473 SIGMA70 STRONG,0.9997116,0.98523813,1,1,1,0.9997116
ECK125137560 YGGLP2 REVERSE 3102250 SIGMA70 STRONG,0.85624033,0.7693839,1,1,1,0.85624033
ECK125137648 YHAHP8 FORWARD 3252263 SIGMA70 STRONG,0.9950872,0.9591956,1,1,1,0.9950872
ECK125137726 YHDHP6 FORWARD 3403446 SIGMA70 STRONG,0.746009,0.95298517,1,1,1,0.95298517
ECK120016965 YHDTP FORWARD 3407351 SIGMA70 STRONG,0.92664075,0.8086092,1,1,1,0.92664075
ECK120010574 YHFAP REVERSE 3485951 SIGMA70 STRONG,0.8432258,0.75587577,1,1,1,0.8432258
ECK120030787 YHJAP REVERSE 3669261 SIGMA70 STRONG,0.90749246,0.8772544,1,1,1,0.90749246
